# index, name, Curso, Grupo, Sexo, prosocial, crttotal, _pos
222,1023,1,B,Male,0.666666666666667,3,"array([ 5.79170016, -1.48404453])"
223,1024,1,C,Male,0.666666666666667,2,"array([ 5.91510404, -1.43087722])"
224,1018,1,B,Male,1.0,3,"array([ 5.78982548, -1.54135359])"
225,1035,1,C,Male,1.0,2,"array([ 5.92330407, -1.44946857])"
226,986,1,A,Male,1.0,3,"array([ 5.97235618, -1.44822113])"
227,999,1,B,Male,1.0,3,"array([ 5.88095445, -1.48546837])"
228,995,1,B,Male,1.0,1,"array([ 5.79122329, -1.46448005])"
229,996,1,B,Male,0.0,3,"array([ 5.84139554, -1.46986771])"
230,1000,1,B,Male,0.666666666666667,3,"array([ 5.82221346, -1.49128642])"
231,1058,1,D,Male,1.0,2,"array([ 5.90870087, -1.50104804])"
232,1052,1,C,Male,0.666666666666667,3,"array([ 5.93400501, -1.55020199])"
233,1059,1,D,Female,1.0,3,"array([ 5.97320558, -1.54535404])"
234,1053,1,C,Male,0.666666666666667,2,"array([ 5.95451453, -1.55340029])"
235,1064,1,D,Male,0.666666666666667,2,"array([ 6.02876978, -1.54046388])"
236,1056,1,D,Female,0.666666666666667,2,"array([ 5.89852146, -1.57030521])"
237,1055,1,C,Female,1.0,3,"array([ 5.95302976, -1.46784046])"
238,1063,1,D,Male,0.333333333333333,2,"array([ 5.97457181, -1.47055397])"
239,1076,1,D,Female,0.666666666666667,1,"array([ 5.89918072, -1.55115517])"
240,1071,1,D,Male,0.666666666666667,3,"array([ 5.96076207, -1.50366128])"
241,1072,1,D,Male,0.0,2,"array([ 5.96022651, -1.42125648])"
242,1070,1,D,Male,1.0,2,"array([ 5.92826936, -1.48185431])"
243,1066,1,D,Male,0.666666666666667,2,"array([ 6.01591713, -1.47691496])"
244,1074,1,D,Female,0.666666666666667,3,"array([ 5.9608549 , -1.59107166])"
245,1077,1,D,Female,0.666666666666667,3,"array([ 5.98912875, -1.57078446])"
